source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0080090,regulation of primary metabolic process,3.953454420933612e-49,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5390,3365,1227,21026,0.36463595839524515,0.22764378478664193,query_1,"['GO:0019222', 'GO:0044238']",17.649482777017475
GO:BP,GO:0065007,biological regulation,1.5774720141812557e-44,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12743,3365,2410,21026,0.7161961367013373,0.18912344032017578,query_1,['GO:0008150'],31.370850636462166
GO:BP,GO:0050789,regulation of biological process,4.00536120536169e-42,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12336,3365,2339,21026,0.6950965824665676,0.18960765239948119,query_1,"['GO:0008150', 'GO:0065007']",28.775162286463384
GO:BP,GO:0050794,regulation of cellular process,3.2239697645466195e-38,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11946,3365,2263,21026,0.6725111441307579,0.1894357944081701,query_1,"['GO:0009987', 'GO:0050789']",25.213524890662296
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,2.136045031340847e-35,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3990,3365,920,21026,0.27340267459138184,0.23057644110275688,query_1,"['GO:0006139', 'GO:0080090']",9.478977244645735
GO:BP,GO:0051252,regulation of RNA metabolic process,3.753696987711713e-34,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3687,3365,859,21026,0.2552748885586924,0.23298074315161377,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']",8.532701199710235
GO:BP,GO:0006351,DNA-templated transcription,1.5165757073065177e-30,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3549,3365,819,21026,0.24338781575037147,0.23076923076923078,query_1,"['GO:0010467', 'GO:0032774']",7.257614355451097
GO:BP,GO:0019538,protein metabolic process,3.0498160213939195e-30,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4721,3365,1031,21026,0.30638930163447253,0.21838593518322388,query_1,"['GO:0043170', 'GO:0044238']",9.043302786202014
GO:BP,GO:0006355,regulation of DNA-templated transcription,4.599684388372973e-30,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3409,3365,791,21026,0.2350668647845468,0.23203285420944558,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']",6.896220542571096
GO:BP,GO:2001141,regulation of RNA biosynthetic process,6.264850129039307e-30,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3428,3365,794,21026,0.23595839524517087,0.23162193698949826,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']",6.890714090723658
GO:BP,GO:0048518,positive regulation of biological process,2.3897347031033926e-29,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,3365,1297,21026,0.38543833580980685,0.20705619412515963,query_1,"['GO:0008150', 'GO:0050789']",11.031881263488817
GO:BP,GO:0048522,positive regulation of cellular process,5.66306951963169e-28,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,3365,1231,21026,0.36582466567607724,0.2079391891891892,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']",9.967605681921253
GO:BP,GO:0019222,regulation of metabolic process,2.5487903430964365e-26,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",7035,3365,1413,21026,0.4199108469539376,0.20085287846481875,query_1,"['GO:0008152', 'GO:0050794']",10.747057919267412
GO:BP,GO:0006366,transcription by RNA polymerase II,2.0118771637078683e-25,True,"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]",2711,3365,641,21026,0.19049034175334323,0.2364441165621542,query_1,['GO:0006351'],4.704425397751941
GO:BP,GO:0060255,regulation of macromolecule metabolic process,1.2971625356563006e-24,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",6492,3365,1312,21026,0.3898959881129272,0.20209488601355516,query_1,"['GO:0019222', 'GO:0043170']",9.313447652644285
GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,3.001873472429757e-24,True,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",2578,3365,611,21026,0.18157503714710252,0.2370054305663305,query_1,"['GO:0006355', 'GO:0006366']",4.271118351856639
GO:BP,GO:0006996,organelle organization,1.0216863505462522e-23,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3594,3365,798,21026,0.23714710252600296,0.22203672787979967,query_1,['GO:0016043'],5.452173718303866
GO:BP,GO:0043412,macromolecule modification,2.398674774959718e-22,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",3030,3365,688,21026,0.20445765230312035,0.22706270627062705,query_1,['GO:0043170'],4.420380296822609
