source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0007154,cell communication,3.077667950174991e-102,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,1182,721,21026,0.6099830795262268,0.11024464831804281,query_1,['GO:0009987'],61.92046709782375
GO:BP,GO:0023052,signaling,5.2814376567402865e-102,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,1182,719,21026,0.6082910321489001,0.11036070606293169,query_1,['GO:0050789'],61.60604162322434
GO:BP,GO:0007165,signal transduction,3.929532138358255e-93,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6002,1182,670,21026,0.5668358714043993,0.11162945684771743,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']",52.378842329779
GO:BP,GO:0051716,cellular response to stimulus,1.706977423974483e-89,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7376,1182,750,21026,0.6345177664974619,0.10168112798264642,query_1,"['GO:0009987', 'GO:0050896']",56.32472856770914
GO:BP,GO:0050896,response to stimulus,5.6981970948241e-76,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8999,1182,818,21026,0.6920473773265652,0.09089898877653073,query_1,['GO:0008150'],52.072594544857495
GO:BP,GO:0010646,regulation of cell communication,1.6879088552927094e-58,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3486,1182,424,21026,0.3587140439932318,0.12162937464142283,query_1,"['GO:0007154', 'GO:0050794']",20.723861275421783
GO:BP,GO:0023051,regulation of signaling,2.442501537905177e-57,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3478,1182,421,21026,0.35617597292724196,0.121046578493387,query_1,"['GO:0023052', 'GO:0050789']",20.16389300330008
GO:BP,GO:0007166,cell surface receptor signaling pathway,1.135727497363584e-56,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2819,1182,368,21026,0.311336717428088,0.1305427456544874,query_1,['GO:0007165'],17.417647306443573
GO:BP,GO:0050789,regulation of biological process,1.728150912390062e-56,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12336,1182,950,21026,0.8037225042301185,0.07701037613488976,query_1,"['GO:0008150', 'GO:0065007']",44.81751050615816
GO:BP,GO:0065007,biological regulation,2.1270418621882413e-55,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12743,1182,967,21026,0.8181049069373942,0.07588479949776347,query_1,['GO:0008150'],44.72761469705566
GO:BP,GO:0035556,intracellular signal transduction,7.897389197344792e-55,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,1182,376,21026,0.31810490693739424,0.12681281618887016,query_1,['GO:0007165'],17.21027596316002
GO:BP,GO:0050794,regulation of cellular process,3.117538205628036e-52,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11946,1182,922,21026,0.7800338409475466,0.07718064624141972,query_1,"['GO:0009987', 'GO:0050789']",40.17656982631187
GO:BP,GO:0009966,regulation of signal transduction,1.0613817624396952e-51,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3034,1182,375,21026,0.31725888324873097,0.12359920896506263,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']",16.17199504411742
GO:BP,GO:0048583,regulation of response to stimulus,1.2563924326024974e-51,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,1182,447,21026,0.37817258883248733,0.11194590533433509,query_1,"['GO:0050789', 'GO:0050896']",19.24931555462612
GO:BP,GO:0141124,intracellular signaling cassette,2.4412551720660017e-44,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,1182,268,21026,0.22673434856175972,0.1401673640167364,query_1,['GO:0035556'],9.888426115673047
GO:BP,GO:0051128,regulation of cellular component organization,1.217006729108192e-33,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2433,1182,288,21026,0.2436548223350254,0.11837237977805179,query_1,"['GO:0016043', 'GO:0050794']",8.019827091277135
GO:BP,GO:0032502,developmental process,3.701132982728794e-32,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6553,1182,567,21026,0.4796954314720812,0.08652525560811843,query_1,['GO:0008150'],15.077626252912344
GO:BP,GO:0048856,anatomical structure development,8.595111574257105e-32,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5997,1182,531,21026,0.44923857868020306,0.08854427213606804,query_1,['GO:0032502'],13.955932693379209
GO:BP,GO:1902531,regulation of intracellular signal transduction,1.1722995058959426e-31,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,1182,245,21026,0.20727580372250423,0.12544802867383512,query_1,"['GO:0009966', 'GO:0035556']",6.411239887838475
GO:BP,GO:0032501,multicellular organismal process,3.684326464528057e-31,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7322,1182,611,21026,0.5169204737732657,0.08344714558863699,query_1,['GO:0008150'],15.731772586681148
GO:BP,GO:0009653,anatomical structure morphogenesis,3.4196889679731134e-28,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2713,1182,296,21026,0.25042301184433163,0.10910431256911168,query_1,"['GO:0032502', 'GO:0048856']",6.878121797148612
GO:BP,GO:0007264,small GTPase-mediated signal transduction,1.2182819507275837e-27,True,"""An intracellular signaling cassette in which a small monomeric GTPase relays a signal."" [GOC:mah]",505,1182,103,21026,0.08714043993231811,0.20396039603960395,query_1,['GO:0141124'],2.345319776283081
GO:BP,GO:0048731,system development,3.5842271667950894e-27,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4053,1182,389,21026,0.3291032148900169,0.09597828768813224,query_1,"['GO:0007275', 'GO:0048856']",8.703333451687836
GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,3.5394064111975493e-26,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]",970,1182,148,21026,0.12521150592216582,0.15257731958762888,query_1,['GO:0007166'],3.1867667477857875
GO:BP,GO:0007155,cell adhesion,6.52697676216958e-26,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1530,1182,197,21026,0.16666666666666666,0.1287581699346405,query_1,['GO:0009987'],4.197547988918156
GO:BP,GO:0048584,positive regulation of response to stimulus,4.321811861691025e-25,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,1182,259,21026,0.21912013536379019,0.1111111111111111,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']",5.338716195434016
GO:BP,GO:0051239,regulation of multicellular organismal process,6.827795351080088e-25,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,1182,305,21026,0.2580372250423012,0.10317997293640054,query_1,"['GO:0032501', 'GO:0050789']",6.235655202074557
GO:BP,GO:0048518,positive regulation of biological process,4.667226703421722e-24,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,1182,523,21026,0.44247038917089676,0.08349297573435505,query_1,"['GO:0008150', 'GO:0050789']",10.323250589749154
GO:BP,GO:0050793,regulation of developmental process,2.1770982126325497e-23,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2457,1182,264,21026,0.2233502538071066,0.10744810744810745,query_1,"['GO:0032502', 'GO:0050789']",5.061590695761064
GO:BP,GO:0007275,multicellular organism development,3.0396732151747076e-23,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4727,1182,422,21026,0.3570219966159052,0.08927438121430083,query_1,"['GO:0032501', 'GO:0048856']",8.039126099518095
GO:BP,GO:0007010,cytoskeleton organization,6.735527669715345e-23,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]",1529,1182,190,21026,0.16074450084602368,0.12426422498364945,query_1,['GO:0006996'],3.5639673361523325
GO:BP,GO:0065008,regulation of biological quality,1.1181193814287368e-22,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2947,1182,298,21026,0.2521150592216582,0.1011197828299966,query_1,['GO:0065007'],5.534306703618867
GO:BP,GO:0009967,positive regulation of signal transduction,1.2337862118130442e-21,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",1578,1182,191,21026,0.16159052453468697,0.12103929024081116,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']",3.378657509913274
GO:BP,GO:0048585,negative regulation of response to stimulus,3.902756789320406e-21,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1680,1182,198,21026,0.16751269035532995,0.11785714285714285,query_1,"['GO:0048519', 'GO:0048583', 'GO:0050896']",3.4187042685230846
GO:BP,GO:0048522,positive regulation of cellular process,8.755601924152363e-21,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,1182,490,21026,0.41455160744500846,0.08277027027027027,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']",8.314957577044739
GO:BP,GO:0010647,positive regulation of cell communication,1.087938848259077e-20,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1795,1182,206,21026,0.17428087986463622,0.11476323119777158,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']",3.479238135461716
GO:BP,GO:0023056,positive regulation of signaling,1.1670716905500692e-20,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1796,1182,206,21026,0.17428087986463622,0.11469933184855234,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']",3.4739237799287626
