source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0019538,protein metabolic process,1.9253392558090124e-07,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4721,483,170,21026,0.35196687370600416,0.03600932005930947,query_1,"['GO:0043170', 'GO:0044238']",2.3636309830645694
GO:BP,GO:0030163,protein catabolic process,3.532323919157572e-05,True,"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]",1030,483,54,21026,0.11180124223602485,0.05242718446601942,query_1,"['GO:0009057', 'GO:0019538']",0.4977323639824402
GO:BP,GO:0080090,regulation of primary metabolic process,0.00010566369234605471,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5390,483,177,21026,0.36645962732919257,0.032838589981447126,query_1,"['GO:0019222', 'GO:0044238']",1.4570706758895178
GO:BP,GO:0036211,protein modification process,0.000292519142018873,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2846,483,107,21026,0.22153209109730848,0.03759662684469431,query_1,"['GO:0019538', 'GO:0043412']",0.7828602295444242
GO:BP,GO:0043412,macromolecule modification,0.0006028943928708904,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",3030,483,111,21026,0.22981366459627328,0.03663366336633663,query_1,['GO:0043170'],0.7399445586499926
GO:BP,GO:0009057,macromolecule catabolic process,0.0008819616182390766,True,"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",1417,483,63,21026,0.13043478260869565,0.04446012702893437,query_1,"['GO:0009056', 'GO:0043170']",0.39841960622055755
GO:BP,GO:0051649,establishment of localization in cell,0.0009521745856239024,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",2010,483,81,21026,0.16770186335403728,0.04029850746268657,query_1,"['GO:0051234', 'GO:0051641']",0.5066748583168744
GO:BP,GO:0051603,proteolysis involved in protein catabolic process,0.000960660239952689,True,"""The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."" [GOC:ai, GOC:dph, GOC:tb]",786,483,42,21026,0.08695652173913043,0.05343511450381679,query_1,"['GO:0006508', 'GO:0030163']",0.2623852333578679
GO:BP,GO:0009056,catabolic process,0.001112118079760919,True,"""A cellular process consisting of the biochemical pathways by which a living organism breaks down substances. This includes the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]",2639,483,99,21026,0.20496894409937888,0.03751420992800303,query_1,['GO:0008152'],0.6054473308192878
GO:BP,GO:0046907,intracellular transport,0.0036697018729619476,True,"""The directed movement of substances within a cell."" [GOC:ai]",1381,483,60,21026,0.12422360248447205,0.04344677769732078,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']",0.3025303374475435
