source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0051252,regulation of RNA metabolic process,1.8642630274671157e-145,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3687,1302,620,21026,0.47619047619047616,0.1681583943585571,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']",68.91880610160835
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,3.964962948302867e-142,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3990,1302,642,21026,0.4930875576036866,0.16090225563909774,query_1,"['GO:0006139', 'GO:0080090']",69.72344890662795
GO:BP,GO:0006351,DNA-templated transcription,6.4766763806205374e-139,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3549,1302,598,21026,0.4592933947772657,0.1684981684981685,query_1,"['GO:0010467', 'GO:0032774']",63.46913316900443
GO:BP,GO:2001141,regulation of RNA biosynthetic process,6.37940854456745e-137,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3428,1302,584,21026,0.4485407066052227,0.17036172695449242,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']",61.08910002857167
GO:BP,GO:0006355,regulation of DNA-templated transcription,4.545401408294296e-136,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3409,1302,581,21026,0.44623655913978494,0.1704312114989733,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']",60.39473926827919
GO:BP,GO:0006366,transcription by RNA polymerase II,6.592519363508262e-123,True,"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]",2711,1302,495,21026,0.38018433179723504,0.18258945038731095,query_1,['GO:0006351'],46.451282296492415
GO:BP,GO:0080090,regulation of primary metabolic process,1.5912840446038016e-120,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5390,1302,722,21026,0.554531490015361,0.1339517625231911,query_1,"['GO:0019222', 'GO:0044238']",66.4319033445853
GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,2.916135971731137e-116,True,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",2578,1302,472,21026,0.36251920122887865,0.1830876648564779,query_1,"['GO:0006355', 'GO:0006366']",41.88372560099938
GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,5.6752081818947425e-111,True,"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",5644,1302,725,21026,0.5568356374807988,0.1284549964564139,query_1,"['GO:0009059', 'GO:0009889', 'GO:0060255']",61.38891182564992
GO:BP,GO:0010468,regulation of gene expression,1.9046089118484873e-110,True,"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",5536,1302,716,21026,0.5499231950844854,0.12933526011560695,query_1,"['GO:0010467', 'GO:0010556']",60.337679753097646
GO:BP,GO:0009889,regulation of biosynthetic process,2.946356318014322e-110,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",5809,1302,736,21026,0.565284178187404,0.12669994835599932,query_1,"['GO:0009058', 'GO:0019222']",61.91598006403992
