source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0035556,intracellular signal transduction,2.2782695932955572e-07,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,149,52,21026,0.348993288590604,0.017537942664418212,query_1,['GO:0007165'],2.3181512354077167
GO:BP,GO:0051716,cellular response to stimulus,4.0605452722708135e-07,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7376,149,90,21026,0.6040268456375839,0.01220173535791757,query_1,"['GO:0009987', 'GO:0050896']",3.860586630038524
GO:BP,GO:0050896,response to stimulus,2.8564745294971604e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8999,149,100,21026,0.6711409395973155,0.0111123458162018,query_1,['GO:0008150'],3.7209192242191906
GO:BP,GO:0007154,cell communication,5.2113745962021405e-06,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,149,81,21026,0.5436241610738255,0.012385321100917432,query_1,['GO:0009987'],2.8719923783960315
GO:BP,GO:0009966,regulation of signal transduction,5.357410077916799e-06,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3034,149,50,21026,0.33557046979865773,0.016479894528675015,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']",1.7688070837892833
GO:BP,GO:0141124,intracellular signaling cassette,5.726868132744998e-06,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,149,38,21026,0.2550335570469799,0.0198744769874477,query_1,['GO:0035556'],1.3369070271201395
GO:BP,GO:0048583,regulation of response to stimulus,6.717625338806134e-06,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,149,59,21026,0.3959731543624161,0.014775857751064363,query_1,"['GO:0050789', 'GO:0050896']",2.0482836850889488
GO:BP,GO:0010646,regulation of cell communication,8.575620755520637e-06,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3486,149,54,21026,0.3624161073825503,0.01549053356282272,query_1,"['GO:0007154', 'GO:0050794']",1.836266170448561
GO:BP,GO:0007165,signal transduction,1.0058952492957753e-05,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6002,149,76,21026,0.5100671140939598,0.012662445851382872,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']",2.5490334930531593
GO:BP,GO:1902531,regulation of intracellular signal transduction,1.0270760019394295e-05,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,149,38,21026,0.2550335570469799,0.01945724526369688,query_1,"['GO:0009966', 'GO:0035556']",1.272208737510769
