source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:CC,GO:0071944,cell periphery,0.0005986563868754458,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,81,43,22155,0.5308641975308642,0.006865719303847996,query_1,['GO:0110165'],1.710881016429211
GO:CC,GO:0016020,membrane,0.0009211648730945311,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9975,81,57,22155,0.7037037037037037,0.005714285714285714,query_1,['GO:0110165'],2.1362070369129658
GO:CC,GO:0005886,plasma membrane,0.0009879056671133577,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5906,81,41,22155,0.5061728395061729,0.006942092786996275,query_1,"['GO:0016020', 'GO:0071944']",1.5211934006494539
GO:BP,GO:0065008,regulation of biological quality,0.0011951425093946297,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2963,80,29,20972,0.3625,0.009787377657779277,query_1,['GO:0065007'],1.0594353609740914
GO:BP,GO:0051128,regulation of cellular component organization,0.013629661967900967,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2427,80,24,20972,0.3,0.009888751545117428,query_1,"['GO:0016043', 'GO:0050794']",0.5596544745180303
GO:BP,GO:0032535,regulation of cellular component size,0.014699948893012507,True,"""A process that modulates the size of a cellular component."" [GOC:mah]",353,80,9,20972,0.1125,0.025495750708215296,query_1,"['GO:0016043', 'GO:0090066']",0.20617696970451316
GO:CC,GO:0045202,synapse,0.0159575845855163,True,"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]",1608,81,17,22155,0.20987654320987653,0.010572139303482588,query_1,['GO:0030054'],0.3771550415118316
GO:CC,GO:0005737,cytoplasm,0.01819483193297362,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",12601,81,63,22155,0.7777777777777778,0.004999603206094754,query_1,"['GO:0005622', 'GO:0110165']",1.3533737401877004
GO:BP,GO:0099536,synaptic signaling,0.018802959846298987,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",803,80,13,20972,0.1625,0.0161892901618929,query_1,['GO:0007267'],0.28043823947565555
GO:CC,GO:0043005,neuron projection,0.021151511714546368,True,"""A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:jl, PMID:3077060]",1321,81,15,22155,0.18518518518518517,0.011355034065102196,query_1,['GO:0120025'],0.31012196070823256
GO:BP,GO:0051179,localization,0.02301856995308573,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5493,80,39,20972,0.4875,0.0070999453850355,query_1,['GO:0008150'],0.7984868096191753
GO:CC,GO:0030054,cell junction,0.024366358970165324,True,"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, ISBN:0198506732, PMID:26820516, PMID:28096264]",2370,81,21,22155,0.25925925925925924,0.008860759493670886,query_1,['GO:0110165'],0.41823946421298974
GO:MF,GO:0030350,iron-responsive element binding,0.024810850807203414,True,"""Binding to an iron-responsive element, a regulatory sequence found in the 5'- and 3'-untranslated regions of mRNAs encoding many iron-binding proteins."" [PMID:3198610, PMID:8710843]",3,79,2,20208,0.02531645569620253,0.6666666666666666,query_1,['GO:0003729'],0.04064198336100528
GO:CC,GO:0030424,axon,0.027788029831752773,True,"""The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."" [GOC:nln, ISBN:0198506732]",633,81,10,22155,0.12345679012345678,0.01579778830963665,query_1,['GO:0043005'],0.19211632636567225
GO:BP,GO:0009605,response to external stimulus,0.045189646076064335,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,80,23,20972,0.2875,0.009476720230737536,query_1,['GO:0050896'],0.38667630476054293
